Date,Day,Tests,Daily_Tests,Results_Pending,Results_Received,Confirmed_Cases,Daily_Cases,Active_Cases,Delta_Active,Recovered_Cases,Delta_Recovered,Self_Isolation,Delta_Isolation,COVID_Ward,Critical_Care,Emergency_Room,Deaths_From_COVID,Delta_Deaths_From_COVID,Deaths_With_COVID,Delta_Deaths_With_COVID,Total_Deaths,Delta_Total_Deaths,First_Dose,Delta_First_Dose,Second_Dose,Delta_Second_Dose,Vaccines_Administered,Delta_Vaccines_Administered
2020-10-01,1,47550,565,19,47531,410,14,59,10,349,5,539,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,2,48160,610,77,48083,416,6,63,4,351,2,546,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,3,48790,630,41,48749,428,12,68,5,358,7,519,-27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,4,49040,250,7,49033,432,4,70,2,360,2,454,-65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,5,49149,109,7,49142,432,0,68,-2,363,3,381,-73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-06,6,49864,715,30,49834,437,5,68,0,368,5,304,-77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-07,7,50536,672,9,50527,445,8,68,0,376,8,348,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-08,8,51176,640,77,51099,452,7,64,-4,386,10,446,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-09,9,51736,560,28,51708,468,16,69,5,398,12,411,-35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,10,53157,1421,250,52907,476,8,70,1,405,7,388,-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,11,53446,289,11,53435,485,9,70,0,413,8,399,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,12,53530,84,24,53506,486,1,65,-5,419,6,356,-43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-13,13,54372,842,62,54310,499,13,73,8,424,5,420,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-14,14,55109,737,12,55097,516,17,78,5,435,11,501,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-15,15,55677,568,5,55672,531,15,88,10,439,4,569,68,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-16,16,56220,543,6,56214,544,13,99,11,441,2,703,134,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-17,17,56822,602,5,56817,558,14,104,5,449,8,707,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-18,18,57381,559,20,57361,571,13,112,8,455,6,730,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,19,57547,166,21,57526,577,6,112,0,462,7,663,-67,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-20,20,58642,1095,34,58608,608,31,128,16,471,9,620,-43,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-21,21,59718,1076,17,59701,621,13,129,1,481,10,705,85,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-22,22,60298,580,20,60278,630,9,124,-5,495,14,820,115,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-23,23,60887,589,6,60881,641,11,130,6,500,5,833,13,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,24,61627,740,22,61605,660,19,137,7,507,7,803,-30,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-25,25,62026,399,5,62021,667,7,134,-3,516,9,715,-88,6,1,13,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,26,62269,243,5,62264,670,3,120,-14,532,16,635,-80,7,1,13,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-27,27,63113,844,60,63053,679,9,114,-6,547,15,608,-27,8,1,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-28,28,63760,647,6,63754,682,3,101,-13,562,15,550,-58,9,1,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-29,29,64464,704,6,64458,688,6,85,-16,584,22,483,-67,9,1,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-30,30,65445,981,24,65421,693,5,83,-2,590,6,362,-121,8,1,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-31,31,66214,769,10,66204,697,4,60,-23,618,28,294,-68,6,1,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,32,66574,360,8,66566,703,6,64,4,620,2,301,7,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,33,66911,337,8,66903,707,4,60,-4,629,9,246,-55,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-03,34,67909,998,101,67808,730,23,70,10,638,9,276,30,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-04,35,68847,938,8,68839,743,13,74,4,650,12,371,95,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-05,36,69808,961,28,69780,754,11,79,5,655,5,368,-3,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-06,37,70708,900,136,70572,770,16,77,-2,673,18,375,7,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-07,38,71565,857,140,71425,785,15,83,6,682,9,425,50,7,1,18,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,39,72016,451,14,72002,793,8,87,4,685,3,458,33,6,1,18,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-09,40,72419,403,23,72396,805,12,92,5,692,7,531,73,6,1,18,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-10,41,73585,1166,282,73303,814,9,92,0,702,10,576,45,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-11,42,74672,1087,212,74460,842,28,106,14,712,10,674,98,9,1,5,1,1,0,0,1,1,0,0,0,0,0,0
2020-11-12,43,75697,1025,115,75582,864,22,119,13,719,7,692,18,11,1,7,1,0,0,0,1,0,0,0,0,0,0,0
2020-11-13,44,76694,997,31,76663,876,12,118,-1,729,10,649,-43,12,1,6,1,0,0,0,1,0,0,0,0,0,0,0
2020-11-14,45,77559,865,77,77482,887,11,116,-2,742,13,624,-25,12,1,6,1,0,0,0,1,0,0,0,0,0,0,0
2020-11-15,46,78142,583,9,78133,902,15,113,-3,754,12,639,15,12,1,6,1,0,0,0,1,0,0,0,0,0,0,0
2020-11-16,47,78557,415,8,78549,907,5,108,-5,768,14,661,22,12,2,6,1,0,0,0,1,0,0,0,0,0,0,0
2020-11-17,48,79766,1209,13,79753,915,8,110,2,775,7,618,-43,12,2,5,1,0,1,1,2,1,0,0,0,0,0,0
